team,cfbfastr_team,team_id,conference,mascot,logo_path,logo_filename,logo_url,logo_status,logo_width,logo_height,logo_bytes
Marshall,Marshall Thundering Herd,276,Sun Belt,Thundering Herd,assets/team_logos/marshall.png,marshall.png,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,downloaded,500,500,26002
Maryland,Maryland Terrapins,120,Big Ten,Terrapins,assets/team_logos/maryland.png,maryland.png,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,downloaded,500,500,39480
Memphis,Memphis Tigers,235,American Athletic,Tigers,assets/team_logos/memphis.png,memphis.png,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,downloaded,500,500,96001
Miami,Miami Hurricanes,2390,ACC,Hurricanes,assets/team_logos/miami.png,miami.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,downloaded,500,500,12488
Miami (OH),Miami OH RedHawks,193,Mid-American,RedHawks,assets/team_logos/miami-oh.png,miami-oh.png,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,downloaded,500,500,18787
Michigan,Michigan Wolverines,130,Big Ten,Wolverines,assets/team_logos/michigan.png,michigan.png,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,downloaded,500,500,18381
Michigan State,Michigan State Spartans,127,Big Ten,Spartans,assets/team_logos/michigan-state.png,michigan-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,downloaded,500,500,28180
Middle Tennessee,Middle Tennessee Blue Raiders,2393,Conference USA,Blue Raiders,assets/team_logos/middle-tennessee.png,middle-tennessee.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,downloaded,500,500,58321
Minnesota,Minnesota Golden Gophers,135,Big Ten,Golden Gophers,assets/team_logos/minnesota.png,minnesota.png,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,downloaded,500,500,35444
Mississippi State,Mississippi State Bulldogs,344,SEC,Bulldogs,assets/team_logos/mississippi-state.png,mississippi-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,downloaded,500,500,53290
Missouri,Missouri Tigers,142,SEC,Tigers,assets/team_logos/missouri.png,missouri.png,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,downloaded,500,500,65001
Missouri State,Missouri State Bears,2623,MVFC,Bears,assets/team_logos/missouri-state.png,missouri-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,downloaded,500,500,97943
NC State,NC State Wolfpack,152,ACC,Wolfpack,assets/team_logos/nc-state.png,nc-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,downloaded,500,500,60918
Navy,Navy Midshipmen,2426,American Athletic,Midshipmen,assets/team_logos/navy.png,navy.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,downloaded,500,500,31846
Nebraska,Nebraska Cornhuskers,158,Big Ten,Cornhuskers,assets/team_logos/nebraska.png,nebraska.png,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,downloaded,500,500,21873
Nevada,Nevada Wolf Pack,2440,Mountain West,Wolf Pack,assets/team_logos/nevada.png,nevada.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,downloaded,500,500,25608
New Mexico,New Mexico Lobos,167,Mountain West,Lobos,assets/team_logos/new-mexico.png,new-mexico.png,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,downloaded,500,500,102663
New Mexico State,New Mexico State Aggies,166,Conference USA,Aggies,assets/team_logos/new-mexico-state.png,new-mexico-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,downloaded,500,500,50700
North Carolina,North Carolina Tar Heels,153,ACC,Tar Heels,assets/team_logos/north-carolina.png,north-carolina.png,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,downloaded,500,500,51065
North Texas,North Texas Mean Green,249,American Athletic,Mean Green,assets/team_logos/north-texas.png,north-texas.png,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,downloaded,500,500,31804
Northern Illinois,Northern Illinois Huskies,2459,Mid-American,Huskies,assets/team_logos/northern-illinois.png,northern-illinois.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,downloaded,500,500,55192
Northwestern,Northwestern Wildcats,77,Big Ten,Wildcats,assets/team_logos/northwestern.png,northwestern.png,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,downloaded,500,500,19445
Notre Dame,Notre Dame Fighting Irish,87,FBS Independents,Fighting Irish,assets/team_logos/notre-dame.png,notre-dame.png,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,downloaded,500,500,18220
Ohio,Ohio Bobcats,195,Mid-American,Bobcats,assets/team_logos/ohio.png,ohio.png,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,downloaded,500,500,17026
Ohio State,Ohio State Buckeyes,194,Big Ten,Buckeyes,assets/team_logos/ohio-state.png,ohio-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,downloaded,500,500,43184
Oklahoma,Oklahoma Sooners,201,SEC,Sooners,assets/team_logos/oklahoma.png,oklahoma.png,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,downloaded,500,500,15323
Oklahoma State,Oklahoma State Cowboys,197,Big 12,Cowboys,assets/team_logos/oklahoma-state.png,oklahoma-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,downloaded,500,500,23807
Old Dominion,Old Dominion Monarchs,295,Sun Belt,Monarchs,assets/team_logos/old-dominion.png,old-dominion.png,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,downloaded,500,500,81673
Ole Miss,Ole Miss Rebels,145,SEC,Rebels,assets/team_logos/ole-miss.png,ole-miss.png,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,downloaded,500,500,31264
Oregon,Oregon Ducks,2483,Big Ten,Ducks,assets/team_logos/oregon.png,oregon.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,downloaded,500,500,18393
Oregon State,Oregon State Beavers,204,Pac-12,Beavers,assets/team_logos/oregon-state.png,oregon-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,downloaded,500,500,30342
Penn State,Penn State Nittany Lions,213,Big Ten,Nittany Lions,assets/team_logos/penn-state.png,penn-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,downloaded,500,500,20962
Pittsburgh,Pittsburgh Panthers,221,ACC,Panthers,assets/team_logos/pittsburgh.png,pittsburgh.png,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,downloaded,500,500,45422
Purdue,Purdue Boilermakers,2509,Big Ten,Boilermakers,assets/team_logos/purdue.png,purdue.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,downloaded,500,500,19593
Rice,Rice Owls,242,American Athletic,Owls,assets/team_logos/rice.png,rice.png,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,downloaded,500,500,22356
Rutgers,Rutgers Scarlet Knights,164,Big Ten,Scarlet Knights,assets/team_logos/rutgers.png,rutgers.png,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,downloaded,500,500,14826
SMU,SMU Mustangs,2567,ACC,Mustangs,assets/team_logos/smu.png,smu.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,downloaded,500,500,15011
Sam Houston State,Sam Houston State Bearkats,2534,Conference USA,Bearkats,assets/team_logos/sam-houston-state.png,sam-houston-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,downloaded,500,500,20323
San Diego State,San Diego State Aztecs,21,Mountain West,Aztecs,assets/team_logos/san-diego-state.png,san-diego-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,downloaded,500,500,18603
San Jose State,San Jose State Spartans,23,Mountain West,Spartans,assets/team_logos/san-jose-state.png,san-jose-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,downloaded,500,500,67660
South Alabama,South Alabama Jaguars,6,Sun Belt,Jaguars,assets/team_logos/south-alabama.png,south-alabama.png,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,downloaded,500,500,73702
South Carolina,South Carolina Gamecocks,2579,SEC,Gamecocks,assets/team_logos/south-carolina.png,south-carolina.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,downloaded,500,500,99978
South Florida,South Florida Bulls,58,American Athletic,Bulls,assets/team_logos/south-florida.png,south-florida.png,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,downloaded,500,500,56154
Southern Mississippi,Southern Mississippi Golden Eagles,2572,Sun Belt,Golden Eagles,assets/team_logos/southern-mississippi.png,southern-mississippi.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,downloaded,500,500,25238
Stanford,Stanford Cardinal,24,ACC,Cardinal,assets/team_logos/stanford.png,stanford.png,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,downloaded,500,500,39183
Syracuse,Syracuse Orange,183,ACC,Orange,assets/team_logos/syracuse.png,syracuse.png,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,downloaded,500,500,13678
TCU,TCU Horned Frogs,2628,Big 12,Horned Frogs,assets/team_logos/tcu.png,tcu.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,downloaded,500,500,12231
Temple,Temple Owls,218,American Athletic,Owls,assets/team_logos/temple.png,temple.png,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,downloaded,500,500,6016
Tennessee,Tennessee Volunteers,2633,SEC,Volunteers,assets/team_logos/tennessee.png,tennessee.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,downloaded,500,500,8001
Texas,Texas Longhorns,251,SEC,Longhorns,assets/team_logos/texas.png,texas.png,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,downloaded,500,500,15829
