field,description,data_type,source
fantasy_player_name,Name of the rusher on rush plays or receiver on pass plays (from official stats).,,nflfastR::field_descriptions
fg_prob,Predicted probability of the posteam scoring a FG next.,,nflfastR::field_descriptions
field_goal_attempt,Binary indicator for field goal attempt.,,nflfastR::field_descriptions
field_goal_result,"String indicator for result of field goal attempt: made, missed, or blocked.",,nflfastR::field_descriptions
first_down,Binary indicator if the play ended in a first down.,,nflfastR::field_descriptions
first_down_pass,Binary indicator for if a passing play converted the first down.,,nflfastR::field_descriptions
first_down_penalty,Binary indicator for if a penalty converted the first down.,,nflfastR::field_descriptions
first_down_rush,Binary indicator for if a running play converted the first down.,,nflfastR::field_descriptions
fixed_drive,Manually created drive number in a game.,,nflfastR::field_descriptions
fixed_drive_result,Manually created drive result.,,nflfastR::field_descriptions
forced_fumble_player_1_player_id,Unique identifier of one of the players with a forced fumble.,,nflfastR::field_descriptions
forced_fumble_player_1_player_name,String name of one of the players with a forced fumble.,,nflfastR::field_descriptions
forced_fumble_player_1_team,Team of one of the players with a forced fumble.,,nflfastR::field_descriptions
forced_fumble_player_2_player_id,Unique identifier of one of the players with a forced fumble.,,nflfastR::field_descriptions
forced_fumble_player_2_player_name,String name of one of the players with a forced fumble.,,nflfastR::field_descriptions
forced_fumble_player_2_team,Team of one of the players with a forced fumble.,,nflfastR::field_descriptions
fourth_down_converted,Binary indicator for if the first down was converted on fourth down.,,nflfastR::field_descriptions
fourth_down_failed,Binary indicator for if the posteam failed to convert first down on fourth down.,,nflfastR::field_descriptions
fumble,Binary indicator for if a fumble occurred.,,nflfastR::field_descriptions
fumble_forced,Binary indicator for if the fumble was forced.,,nflfastR::field_descriptions
fumble_lost,Binary indicator for if the fumble was lost.,,nflfastR::field_descriptions
fumble_not_forced,Binary indicator for if the fumble was not forced.,,nflfastR::field_descriptions
fumble_out_of_bounds,Binary indicator for if the fumble went out of bounds.,,nflfastR::field_descriptions
fumble_recovery_1_player_id,Unique identifier of one of the players with a fumble recovery.,,nflfastR::field_descriptions
fumble_recovery_1_player_name,String name of one of the players with a fumble recovery.,,nflfastR::field_descriptions
fumble_recovery_1_team,Team of one of the players with a fumble recovery.,,nflfastR::field_descriptions
fumble_recovery_1_yards,Yards gained by one of the players with a fumble recovery.,,nflfastR::field_descriptions
fumble_recovery_2_player_id,Unique identifier of one of the players with a fumble recovery.,,nflfastR::field_descriptions
fumble_recovery_2_player_name,String name of one of the players with a fumble recovery.,,nflfastR::field_descriptions
fumble_recovery_2_team,Team of one of the players with a fumble recovery.,,nflfastR::field_descriptions
fumble_recovery_2_yards,Yards gained by one of the players with a fumble recovery.,,nflfastR::field_descriptions
fumbled_1_player_id,Unique identifier of the first player who fumbled on the play.,,nflfastR::field_descriptions
fumbled_1_player_name,String name of one of the first player who fumbled on the play.,,nflfastR::field_descriptions
fumbled_1_team,Team of one of the first player with a fumble.,,nflfastR::field_descriptions
fumbled_2_player_id,Unique identifier of the second player who fumbled on the play.,,nflfastR::field_descriptions
fumbled_2_player_name,String name of one of the second player who fumbled on the play.,,nflfastR::field_descriptions
fumbled_2_team,Team of one of the second player with a fumble.,,nflfastR::field_descriptions
game_date,Date of the game.,,nflfastR::field_descriptions
game_half,"String indicating which half the play is in, either Half1, Half2, or Overtime.",,nflfastR::field_descriptions
game_id,Ten digit identifier for NFL game.,,nflfastR::field_descriptions
game_seconds_remaining,Numeric seconds remaining in the game.,,nflfastR::field_descriptions
game_stadium,Name of the stadium the game was played in. (Source: Pro-Football-Reference),,nflfastR::field_descriptions
