team,conference,logo
Massachusetts,Mid-American,NA
Sam Houston,Conference USA,NA
Southern Miss,Sun Belt,NA
UConn,FBS Independents,NA
UL Monroe,Sun Belt,NA
UTSA,American Athletic,NA
