season,week,team,conference,logo,games,prior_weight,power_pts,off_pts,def_pts,power_rank,off_rank,def_rank,off_wepa,off_pass_epa,off_rush_epa,off_eckel_rate,off_eckel_rate_oe,def_wepa,def_pass_epa,def_rush_epa,def_eckel_rate,def_eckel_rate_oe,adj_off_rush_epa,adj_def_rush_epa,adj_off_pass_epa,adj_def_pass_epa,off_wepa_rank,off_pass_epa_rank,off_rush_epa_rank,off_eckel_rate_rank,def_wepa_rank,def_pass_epa_rank,def_rush_epa_rank,def_eckel_rate_rank,power_change,rank_change
2026,3,Notre Dame,FBS Independents,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,3,0.49410588440130926,16.1279344901904,8.051253484916174,8.076681005274223,1,3,2,3.257204224819851,0.5375065295885828,0.12411291128764097,0.6071428571428571,0.29872066483985227,-1.1504735111479933,-0.04915840989600569,-0.10730369303278599,0.5517241379310345,0.22625268601698212,-0.02122269102606117,-0.033913758397107134,0.11743337398740028,-0.01940490766821645,51,14,94,43,26,38,12,107,-5.100463147419028,0
2026,3,Oregon,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,3,0.49410588440130926,15.629684548555325,9.099241645196853,6.530442903358471,2,1,8,5.379477241290983,0.3017122619199269,0.3411693825636896,0.5757575757575758,0.19274516845938938,-1.2397999605043286,-0.20560671339088785,-0.0021125493217053655,0.4146341463414634,0.03289321061652604,0.0421018125440933,-0.02130325320015837,0.01939822261835434,-0.05866504318282431,5,52,16,55,21,9,48,42,-1.1855803706678891,2
2026,3,Ohio State,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,3,0.49410588440130926,15.425249054162794,6.103314619596535,9.32193443456626,3,8,1,5.148310945295235,0.5506821269721328,0.1471028738059582,0.6153846153846154,0.2575858531641885,0.18903028028903815,-0.22070236173912497,-0.11191804243924099,0.3333333333333333,-0.01834200212634201,-0.009684562437812143,-0.0470636600290709,0.13779079160080956,-0.052577889124784026,8,13,79,38,131,8,10,10,-3.544374815780184,-1
2026,3,Georgia,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,3,0.49410588440130926,13.897820084611428,6.80080968255273,7.0970104020586975,4,4,7,5.512681891215424,0.689225869439819,0.49231167001305304,0.6052631578947368,0.2596941064264588,-1.0044865483995524,-0.022508307980678863,-0.18697040920322114,0.5405405405405406,0.1737650984318417,0.08731709198521018,-0.037881322058475324,0.15177562761268193,-0.014848079257971412,3,6,4,45,43,40,4,100,-3.258753888811359,-1
2026,3,Texas Tech,Big 12,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,3,0.49410588440130926,12.79099072344041,5.5476895815399825,7.243301141900428,5,10,6,3.2420618572692286,0.3578245663836062,0.17614010386912576,0.5142857142857142,0.15780444959324416,-0.808773980288522,0.1358506203131483,0.0671352833843109,0.5135135135135135,0.16592196667165915,-0.002634528411219614,0.00489016521330881,0.040302367306643244,-0.005371058834577323,52,41,69,79,60,87,67,85,-3.721222165556478,0
2026,3,Indiana,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,3,0.49410588440130926,12.62094326388658,5.039767754011345,7.581175509875235,6,13,5,4.720667425485025,0.8642352823364154,0.2685689559378772,0.7272727272727273,0.40076845290313323,-0.11199993322643272,-0.18205225206174488,-0.22603473091868698,0.32432432432432434,-0.0024467241272464898,0.0018060811144363917,-0.054231155220566075,0.14962416429846706,-0.03165298925789472,14,3,35,5,120,13,2,8,-3.1538633692817424,0
2026,3,Penn State,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,3,0.49410588440130926,12.505967326377068,6.390924211738234,6.115043114638834,7,7,10,4.236320763381556,0.6910863088089297,0.13328378914332156,0.6363636363636364,0.2737955914258031,-0.31952467924638434,-0.20481111538767702,0.045635371791535144,0.34285714285714286,-0.025230389259061115,-0.0015641629575207608,-0.008146138765905135,0.16401286826368383,-0.04670099267573231,22,4,91,31,105,10,61,14,-2.2150034939690286,1
2026,3,Ole Miss,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,3,0.49410588440130926,11.811009973566765,6.5899244927229415,5.221085480843825,8,6,14,3.012740442534367,0.34774491328430485,0.3271429743710831,0.6111111111111112,0.25802343498328867,-0.580145105312741,0.29885761192760524,0.1209505458309606,0.5142857142857142,0.1391140687526397,0.047855904472217624,0.011935923662480967,0.056616951137990854,0.028221953379949514,66,47,21,42,81,116,89,86,-3.6369889086412215,-1
2026,3,Alabama,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,3,0.49410588440130926,10.50606890710828,4.093488374471839,6.41258053263644,9,18,9,4.716723424266435,0.2703172951514392,0.31073514675564673,0.6666666666666666,0.32400690176730584,-2.089984951555543,-0.021518877312216893,-0.13721128821168324,0.375,0.036775027341511723,0.05335628192715701,-0.046245913876190814,0.029641028432986955,-0.028342521758961403,15,59,25,19,1,42,7,20,-0.4851018338516635,6
2026,3,Texas,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,3,0.49410588440130926,10.372643833918254,4.507905133267458,5.864738700650796,10,16,11,2.865905468400895,0.19172604782165345,0.11392710980054585,0.6129032258064516,0.25562500102310737,-0.13960473227374975,0.08757737424749783,-0.090339945610505,0.4,0.041736006577030915,-0.026514145915434523,-0.035246342248918795,-0.03876845973542176,-0.010220931342229903,70,76,97,39,118,76,18,34,-3.893411552718163,0
