season,week,team,conference,logo,games,prior_weight,power_pts,off_pts,def_pts,power_rank,off_rank,def_rank,off_wepa,off_pass_epa,off_rush_epa,off_eckel_rate,off_eckel_rate_oe,def_wepa,def_pass_epa,def_rush_epa,def_eckel_rate,def_eckel_rate_oe,adj_off_rush_epa,adj_def_rush_epa,adj_off_pass_epa,adj_def_pass_epa,off_wepa_rank,off_pass_epa_rank,off_rush_epa_rank,off_eckel_rate_rank,def_wepa_rank,def_pass_epa_rank,def_rush_epa_rank,def_eckel_rate_rank,power_change,rank_change
2026,1,USC,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,2,0.649519052838329,12.717977384808997,8.073193014059155,4.644784370749841,16,13,34,5.0358948610379795,0.6497413932374938,0.11583481254229167,0.8333333333333334,0.46974850493293724,-1.49652842266379,0.12426778493655115,-0.09584089640036128,0.35,-0.020845175668233407,-0.028862482750674767,-0.0209164607061274,0.0639788224619704,-0.005008489600311857,25,23,85,12,25,71,40,38,-5.711682506290892,-4
2026,1,Oklahoma,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,1,0.8184875533567997,12.532920413388048,1.8372650337944199,10.695655379593628,17,51,7,4.147307560231249,0.8234628669489916,0.2011017053829006,0.5714285714285714,0.2198377957416001,-0.7606375227487119,-0.005416070010091679,0.028471304342086477,0.26666666666666666,-0.08526820714901706,1.2577012487678625e-4,-0.003113509598635648,0.03632310037190817,-0.005997953414683636,41,12,66,68,76,42,67,18,-2.596748476097053,0
2026,1,Miami,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,1,0.8184875533567997,12.099020833326247,3.6104039987987653,8.488616834527482,18,32,13,5.611384044002492,0.9825001153405709,-0.026731357556961988,0.5384615384615384,0.2093942615959833,-0.6831042227330508,0.09339256381571093,-0.0813267520924387,0.45454545454545453,0.1318761809499971,-0.02090457531330827,-0.022170335868628085,0.10059057167618965,-0.01786022597814394,22,4,111,73,82,66,45,63,-2.180650373924742,0
2026,1,Washington,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,1,0.8184875533567997,11.171823299360266,2.8172350744056662,8.3545882249546,19,44,15,1.2522051257262121,0.26215129636152296,0.02758948208347928,0.4,0.031300901193456285,-1.973818021980894,-0.08385984218408943,0.0036407024125688576,0.3076923076923077,-0.038999778697612536,-0.03237194678641055,-0.004969177556860823,-0.01260137182002248,-0.010832332010564352,110,77,100,105,13,26,62,29,-2.4578496802999314,0
2026,1,South Carolina,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,1,0.8184875533567997,10.854690921808777,2.7660272551618412,8.088663666646935,20,45,18,6.290238913064049,0.8743785630747609,0.5150627822645977,0.8,0.5000070084658522,-0.5318271359347079,-0.1342922165396779,-0.07185202827444752,0.2,-0.1384219492540122,0.07317715411260833,-0.010712351479695119,0.06106971694704708,-0.011417272196635242,11,9,20,17,87,23,47,11,-1.9349843483494737,1
2026,1,LSU,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,1,0.8184875533567997,10.820824876679284,-0.7443380823016729,11.565162958980956,21,73,5,2.9377126142387624,0.5472861026858212,0.32407303415614797,0.8333333333333334,0.4688936602060134,-1.4811916703498849,-0.36066246434040855,-0.2075215324935029,0.16666666666666666,-0.18664035923347294,0.03770437457348072,-0.02039019022137266,0.02275662386657984,-0.021546503717537458,64,34,36,12,26,3,17,7,-2.38884924822994,-1
2026,1,BYU,Big 12,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,1,0.8184875533567997,9.878730117323293,3.277767408180275,6.600962709143018,22,36,24,5.665345602358637,0.5309861490053432,0.5627014090970583,0.7777777777777778,0.4422294604406775,-1.1924827955667834,-0.02950814712837823,-0.1860266066461469,0.3333333333333333,-0.01957576549077392,0.06938849393930537,-0.011329283090698488,0.006272856787534356,-0.0025701671831621573,21,36,15,20,49,32,19,35,-1.9409477978148555,0
2026,1,Nebraska,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,1,0.8184875533567997,9.64188702211472,3.3800778359168824,6.261809186197837,23,34,25,4.418314216862955,0.4504413070369967,0.5929135619478599,0.7,0.31960424684030586,-0.9552535447412054,-0.026696587488628527,0.22417669168728377,0.5,0.11235273941294172,0.09447314817595312,0.016148559485926153,0.010056113144499033,-0.009805068857997323,34,46,8,38,63,34,112,76,-1.8977916565227773,0
2026,1,Iowa,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,1,0.8184875533567997,8.27099798851744,1.381782601723995,6.8892153867934445,24,54,22,2.3676102966592554,-0.0165280566196248,0.19009013806132216,0.7142857142857143,0.2966384680481101,-2.6879715584261756,-0.029720069957136303,-0.2934605068534402,0,-0.3660805788702934,-0.00247921330438279,-0.028781867562446512,-0.05267895798121248,-0.00897062616483245,84,122,68,36,3,31,9,1,-1.9186843712776458,0
2026,1,Virginia,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,1,0.8184875533567997,7.989382162282732,2.601300237463899,5.388081924818833,25,46,28,2.905781108483717,0.8633637362136882,0.1896816679076947,0.45454545454545453,0.14613118918776255,-0.8384706414642956,-0.09318195420888822,-0.01566497991516628,0.16666666666666666,-0.16614745229765254,-0.003257231204588382,-0.0055399096209485755,0.023725646216932895,-0.011581889142762196,67,10,69,96,68,25,57,7,-1.8103012609578784,0
2026,1,Missouri,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,1,0.8184875533567997,7.66380952581712,3.5433475996881154,4.120461926129005,26,33,35,4.4472617340592535,0.5725011265732832,0.29438765543735235,0.7692307692307693,0.38883312704906486,0.5758543834570665,-0.006894480757946978,0.12581996659157954,0.45454545454545453,0.07958730627308258,-0.011048046415531185,0.02102846448841943,0.013794684593894976,-0.0010816926185886321,33,30,43,24,127,41,91,63,-1.5058756152970307,1
2026,1,Kansas State,Big 12,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,1,0.8184875533567997,7.534875572731133,6.107238991609835,1.4276365811212988,27,19,53,5.667463069121493,0.8147086988002379,0.5658860126736514,0.7272727272727273,0.3315207984593057,-2.2657872227356264,-0.3654806137951794,-0.11444434198071815,0.2857142857142857,-0.1011207198771447,0.06700269767354695,-0.006758580991170327,0.036604784678954456,-0.01351915673442739,20,13,14,30,8,2,33,21,-1.2948104954893722,1
