run_date,keyword,sport,volume,latest_month_volume,mom_change,three_month_vs_prior,six_month_vs_prior,api_trend,opportunity_score
2026-08-09,cfb picks,CFB,3500.0,50.0,0.6666666666666666,-0.9458128078817735,-0.9496114904638568,-0.71,51.4
2026-08-09,college football betting,CFB,3500.0,580.0,0.48717948717948717,-0.5414012738853503,-0.8811932555123217,-0.32,51.3
2026-08-09,nfl 2026 playoff predictions,NFL,140.0,110.0,-0.21428571428571427,-0.5633802816901408,0.728813559322034,0.0,51.3
2026-08-09,nfl predictions 2025,NFL,2900.0,20.0,-0.3333333333333333,-0.7317073170731708,-0.9838659633881476,-0.99,51.1
2026-08-09,cfb rankings prediction,CFB,660.0,20.0,1.0,-0.6428571428571428,-0.9756722151088347,-0.6,51.0
2026-08-09,playoffs nfl 2026,NFL,1200.0,170.0,0.0,-0.9480415667466028,4.222222222222222,4.67,50.5
2026-08-09,nfl bad bunny,NFL,4300.0,210.0,-0.19230769230769232,-0.9678082191780821,0.4574468085106383,20.0,50.2
2026-08-09,nfl 2026 season,NFL,660.0,850.0,-0.46875,0.013888888888888952,4.534351145038167,5.07,49.9
2026-08-09,updated cfb rankings,CFB,850.0,20.0,0.0,-0.5454545454545454,-0.9838872104733132,-0.6,49.7
2026-08-09,sunflower,NFL,360000.0,360000.0,-0.1836734693877551,0.06976744186046512,0.02780153977758763,-0.18,49.6
2026-08-09,cfb rankings preseason,CFB,70.0,90.0,0.0,4.25,-0.5535714285714286,-0.57,49.4
2026-08-09,nfl team,NFL,197000.0,108000.0,-0.18181818181818182,-0.2765072765072766,-0.38318452380952384,0.0,49.3
2026-08-09,nfl 2026 super bowl,NFL,580.0,310.0,0.47619047619047616,-0.7897574123989218,1.5224719101123596,1.21,49.2
2026-08-09,early cfb rankings,CFB,60.0,70.0,0.0,-0.08695652173913049,1.0952380952380951,-0.22,48.9
2026-08-09,nfl 2026 week 1,NFL,170.0,210.0,-0.6818181818181818,0.47945205479452047,5.241379310344827,9.5,48.8
2026-08-09,nfl 2026 mock draft,NFL,14500.0,310.0,-0.46551724137931033,-0.7275510204081633,0.1455380577427822,-0.87,48.7
2026-08-09,nfl betting,NFL,6500.0,660.0,-0.34,-0.8505617977528089,-0.6490566037735849,-0.81,47.5
2026-08-09,cfb rankings all teams,CFB,90.0,10.0,0.0,-0.4,-0.9175257731958762,0.0,47.5
2026-08-09,nfl players,NFL,295000.0,21700.0,-0.1811320754716981,-0.871517027863777,-0.775346687211094,-0.55,47.2
2026-08-09,nfl futures,NFL,2400.0,1000.0,0.0,-0.48846153846153845,-0.5751351351351351,-0.47,47.2
2026-08-09,nfl 2026,NFL,3500.0,3500.0,-0.46153846153846156,-0.3222748815165876,4.299401197604791,5.03,47.1
2026-08-09,nfl football,NFL,295000.0,14500.0,-0.3317972350230415,-0.949243349938904,-0.5854409256100274,-0.63,47.0
2026-08-09,nfl on cbs,NFL,21700.0,1900.0,0.0,-0.9383116883116883,-0.42865463016889926,-0.93,47.0
2026-08-09,cfb rankings espn,CFB,140.0,10.0,0.0,-0.25000000000000006,-0.9548387096774194,0.0,46.9
2026-08-09,nfl futures bets,NFL,660.0,310.0,-0.20512820512820512,0.054945054945055014,-0.6759098786828424,-0.74,46.3
2026-08-09,nfl picks 1,NFL,50.0,10.0,-0.5,0.6999999999999998,0.22727272727272735,-0.67,46.2
2026-08-09,cfb rankings by week,CFB,50.0,10.0,0.0,-0.5714285714285714,-0.7777777777777777,0.0,45.9
2026-08-09,cbs college football,CFB,9700.0,1200.0,0.0,-0.6936936936936938,-0.8759623609923011,-0.25,45.8
2026-08-09,combine nfl 2026,NFL,1200.0,20.0,-0.3333333333333333,-0.9860671310956302,122.15384615384616,0.0,45.5
2026-08-09,nfl kansas city,NFL,7900.0,1000.0,-0.16666666666666666,-0.4035087719298246,-0.882882882882883,-0.38,45.3
2026-08-09,nfl 2026 preseason,NFL,60.0,90.0,-0.5714285714285714,0.7826086956521737,20.333333333333336,2.0,45.0
2026-08-09,nfl power rankings 2024,NFL,110.0,10.0,-0.5,-0.5833333333333333,-0.8349514563106796,-0.93,44.9
2026-08-09,what is a nfl,NFL,1200.0,660.0,-0.2235294117647059,-0.3723404255319149,-0.18832891246684355,0.14,44.8
2026-08-09,cfb rankings week 1,CFB,60.0,0.0,-1.0,-0.5,-0.9154929577464789,0.0,44.2
2026-08-09,nfl george pickens,NFL,170.0,60.0,0.0,-0.42222222222222217,-0.43200000000000005,-0.14,43.9
2026-08-09,espn nfl football,NFL,3500.0,470.0,0.0,-0.7703927492447129,-0.7337258750408897,0.0,43.8
2026-08-09,nfl career simulator,NFL,1200.0,850.0,-0.15,-0.34146341463414637,-0.15632754342431762,0.29,43.3
2026-08-09,nfl t shirt,NFL,2900.0,1000.0,0.0,-0.5675675675675675,-0.5431034482758621,-0.47,43.1
2026-08-09,nfl 2026 schedules,NFL,90.0,50.0,-0.8387096774193549,-0.02083333333333339,7.636363636363637,1.5,42.8
2026-08-09,pro bowl nfl 2026,NFL,140.0,10.0,0.0,-0.9793103448275862,4.481481481481481,0.0,42.6
2026-08-09,nfl 2026 game,NFL,210.0,210.0,-0.5531914893617021,-0.13265306122448992,1.1279069767441858,0.91,42.3
2026-08-09,nfl funny moments,NFL,1900.0,850.0,0.0,-0.49056603773584906,-0.5,-0.55,42.1
2026-08-09,nfl spreadsheet,NFL,90.0,10.0,0.0,-0.6666666666666666,-0.8222222222222222,-0.67,41.3
2026-08-09,ultimate cfb rankings,CFB,50.0,0.0,,-1.0,-0.9622641509433962,0.0,41.3
2026-08-09,nfl cowboys,NFL,17800.0,2900.0,-0.32558139534883723,-0.25149700598802394,-0.8309206716850028,-0.45,40.9
2026-08-09,nfl 2026 combine,NFL,210.0,10.0,-0.5,-0.909502262443439,39.16666666666667,0.0,40.7
2026-08-09,nfl giants,NFL,9700.0,2400.0,-0.1724137931034483,-0.22627737226277375,-0.7293986636971047,-0.17,40.4
2026-08-09,best nfl moments,NFL,660.0,390.0,-0.1702127659574468,-0.3364055299539171,-0.24159663865546227,-0.33,40.3
2026-08-09,nfl best moments,NFL,660.0,390.0,-0.1702127659574468,-0.3364055299539171,-0.24159663865546227,-0.33,40.3
